transaction_id,customer_id,amount,transaction_type,channel,destination_country,timestamp,round_amount,high_cash,large_transfer,near_threshold,high_risk_country,rapid_movement,mismatch_profile,country,pep,registration_date,unusual_wealth,risk_score,suspicious,flag_reasons,risk_level,date
2ca74260-2,ea015d54,19951,crypto,online,IR,2026-02-19 20:15:56.025146,False,True,True,False,True,False,False,SY,False,2025-09-24 20:15:56.020379,False,150,True,"high cash, large transfer, high risk country",High,2026-02-19
eea5d0df-1,7a74e9d3,18689,payment,online,FR,2025-09-24 20:15:56.025164,False,True,True,False,False,False,False,FR,True,2025-10-28 20:15:56.020388,False,90,True,"high cash, large transfer",High,2025-09-24
2fe93b9b-b,1d9eca57,2709,crypto,branch,SY,2025-04-22 20:15:56.025173,False,False,False,False,True,False,False,IR,False,2025-07-26 20:15:56.020352,False,100,True,high risk country,High,2025-04-22
e4092ae0-4,c362a136,8630,crypto,branch,DE,2025-12-03 20:15:56.025181,False,True,False,False,False,False,False,AF,False,2024-07-01 20:15:56.020606,False,85,True,high cash,High,2025-12-03
a2c866a7-1,1540f6c7,19623,transfer,branch,NL,2025-04-09 20:15:56.025188,False,True,True,False,False,False,False,NL,False,2025-09-18 20:15:56.020384,False,50,False,"high cash, large transfer",Medium,2025-04-09
368c4529-e,56ca9310,6174,crypto,ATM,NL,2025-05-25 20:15:56.025195,False,True,False,False,False,False,False,AF,False,2024-01-06 20:15:56.020623,False,85,True,high cash,High,2025-05-25
b2af66e8-7,f44e41d2,5326,crypto,branch,US,2025-04-22 20:15:56.025201,False,True,False,False,False,False,False,AE,False,2026-02-23 20:15:56.020648,False,45,False,high cash,Low,2025-04-22
35a6e5b3-2,d12f6c84,15033,crypto,online,IT,2025-06-06 20:15:56.025208,False,True,True,False,False,False,False,SY,False,2024-12-21 20:15:56.020362,False,110,True,"high cash, large transfer",High,2025-06-06
92f250bc-5,9b206f30,17506,withdrawal,branch,DE,2025-12-19 20:15:56.025215,False,True,True,False,False,False,False,SY,False,2024-03-28 20:15:56.020480,False,90,True,"high cash, large transfer",High,2025-12-19
018c830c-f,6fbe5a7a,498,transfer,branch,IR,2025-08-21 20:15:56.025221,False,False,False,False,True,True,False,NL,False,2024-11-12 20:15:56.020375,False,50,False,"high risk country, rapid movement",Medium,2025-08-21
